Course Name,Section No,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
FPCS0001 Computing Skill,1.,,08:00-10:00,,08:00-10:00,,
FPCS0001 Computing Skill,2.,,08:00-10:00 ,,08:00-10:00,,
FPCS0001 Computing Skill,3.,,08:00-10:00,,08:00-10:00 ,,
FPCS0001 Computing Skill,4.,,10:00-12:00,,10:00-12:00 ,,
FPCS0001 Computing Skill,5.,,10:00-12:00 ,,10:00-12:00 -,,
FPCS0001 Computing Skill,6.,,10:00-12:00 ,,10:00-12:00 - ,,
FPCS0001 Computing Skill,7.,,14:00-16:00,,14:00-16:00 ,,
FPCS0001 Computing Skill,8.,,14:00-16:00,,14:00-16:00 ,,
FPCS0001 Computing Skill,9.,,12:00-14:00,,,,10:00-12:00
FPCS0001 Computing Skill,10.,,12:00-14:00,,,,10:00-12:00
FPCS0001 Computing Skill,11.,,12:00-14:00,,,,10:00-12:00
FPCS0001 Computing Skill,12.,,,08:00-10:00 ,,08:00-10:00 ,
FPCS0001 Computing Skill,13.,,,08:00-10:00 ,,08:00-10:00,
FPCS0001 Computing Skill,14.,,,08:00-10:00 ,,08:00-10:00 ,
FPCS0001 Computing Skill,15.,,,10:00-12:00,,10:00-12:00 ,
FPCS0001 Computing Skill,16.,,,10:00-12:00 ,,10:00-12:00 ,
FPCS0001 Computing Skill,17.,,,10:00-12:00 ,,10:00-12:00,
FPCS0001 Computing Skill,18.,,,12:00-14:00,,12:00-14:00,
FPCS0001 Computing Skill,19.,,,12:00-14:00 ,,12:00-14:00 ,
FPCS0001 Computing Skill,20.,,,12:00-14:00 ,,12:00-14:00,
FPCS0001 Computing Skill,21.,,,14:00-16:00 ,,14:00-16:00 ,
FPCS0001 Computing Skill,22.,,,14:00-16:00,,14:00-16:00 ,
FPCS0001 Computing Skill,23.,,,14:00-16:00,,14:00-16:00 ,
