AnnotationID,Section,Session_ID,Window_Index,Window_Position,Start_Time,End_Time,n_events,n_users,User_Distribution,Top_User_Share,Dominant_Event,R_event,Dominant_Component,R_component,Event_Distribution,Component_Distribution,Prior_Window_Summary,Next_Window_Summary,Alignment,Dispersion,Stability,Action,Notes
1,Sec-01,12,9,Window 5 of 7 in this session,2/22/2026 8:07,2/22/2026 8:08,6,3,"S1=3, S2=2, S3=1",0.5,Course module viewed,0.833,File,0.833,"Course module viewed: 5, Course viewed: 1","File: 5, System: 1","W8 [08:06]: 5 events, n_users=3, dominant=Course module viewed","W25 [08:23]: 5 events, n_users=3, dominant=Course module viewed",,,,,
2,Sec-01,12,8,Window 4 of 7 in this session,2/22/2026 8:06,2/22/2026 8:07,5,3,"S1=2, S2=2, S3=1",0.4,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2","W7 [08:05]: 5 events, n_users=5, dominant=Course module viewed","W9 [08:07]: 6 events, n_users=3, dominant=Course module viewed",,,,,
3,Sec-01,18,13,Window 5 of 7 in this session,2/24/2026 8:08,2/24/2026 8:09,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,0.667,File,0.667,"Course module viewed: 2, Course viewed: 1","File: 2, System: 1","W11 [08:06]: 6 events, n_users=4, dominant=Course module viewed","W22 [08:17]: 8 events, n_users=3, dominant=Course module viewed",,,,,
4,Sec-03,84,25,Window 2 of 14 in this session,4/14/2026 8:14,4/14/2026 8:15,23,14,"S1=4, S2=4, S3=2, S4=2, S5=2, S6=1, S7=1, S8=1, S9=1, S10=1, S11=1, S12=1, S13=1, S14=1",0.17,Course module viewed,0.522,File,0.478,"Course module viewed: 12, Course viewed: 10, The status of the submission has been viewed.: 1","File: 11, System: 10, Assignment: 2","W18 [08:07]: 4 events, n_users=3, dominant=Course viewed","W26 [08:15]: 26 events, n_users=12, dominant=Course module viewed",,,,,
5,Sec-03,84,29,Window 5 of 14 in this session,4/14/2026 8:18,4/14/2026 8:19,5,3,"S1=3, S2=1, S3=1",0.6,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2","W27 [08:16]: 6 events, n_users=3, dominant=Course viewed","W34 [08:23]: 34 events, n_users=17, dominant=Course viewed",,,,,
6,Sec-03,118,13,Window 6 of 12 in this session,4/19/2026 8:14,4/19/2026 8:15,9,5,"S1=4, S2=2, S3=1, S4=1, S5=1",0.44,Course module viewed,0.556,File,0.444,"Course module viewed: 5, Course viewed: 3, The status of the submission has been viewed.: 1","File: 4, System: 3, Assignment: 2","W12 [08:13]: 5 events, n_users=3, dominant=Course module viewed","W18 [08:19]: 9 events, n_users=8, dominant=Course viewed",,,,,
7,Sec-03,123,61,Window 3 of 18 in this session,4/21/2026 8:05,4/21/2026 8:06,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,0.667,File,0.667,"Course module viewed: 2, Course viewed: 1","File: 2, System: 1","W60 [08:04]: 8 events, n_users=5, dominant=Course viewed","W65 [08:09]: 10 events, n_users=4, dominant=Course module viewed",,,,,
8,Sec-03,123,66,Window 5 of 18 in this session,4/21/2026 8:10,4/21/2026 8:11,6,4,"S1=3, S2=1, S3=1, S4=1",0.5,Course module viewed,0.833,File,0.833,"Course module viewed: 5, Course viewed: 1","File: 5, System: 1","W65 [08:09]: 10 events, n_users=4, dominant=Course module viewed","W67 [08:11]: 5 events, n_users=3, dominant=Course module viewed",,,,,
9,Sec-03,123,68,Window 7 of 18 in this session,4/21/2026 8:12,4/21/2026 8:13,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,1,File,1,Course module viewed: 3,File: 3,"W67 [08:11]: 5 events, n_users=3, dominant=Course module viewed","W71 [08:15]: 6 events, n_users=3, dominant=Course module viewed",,,,,
10,Sec-03,123,74,Window 11 of 18 in this session,4/21/2026 8:18,4/21/2026 8:19,9,6,"S1=3, S2=2, S3=1, S4=1, S5=1, S6=1",0.33,Course module viewed,0.778,File,0.778,"Course module viewed: 7, Course viewed: 2","File: 7, System: 2","W73 [08:17]: 18 events, n_users=6, dominant=Course module viewed","W85 [08:29]: 3 events, n_users=3, dominant=Course viewed",,,,,
11,Sec-03,123,127,Window 17 of 18 in this session,4/21/2026 9:11,4/21/2026 9:12,8,5,"S1=2, S2=2, S3=2, S4=1, S5=1",0.25,Course module viewed,0.625,File,0.625,"Course module viewed: 5, Course viewed: 3","File: 5, System: 3","W126 [09:10]: 33 events, n_users=16, dominant=Course module viewed","W139 [09:23]: 7 events, n_users=3, dominant=Course module viewed",,,,,
12,Sec-03,123,72,Window 9 of 18 in this session,4/21/2026 8:16,4/21/2026 8:17,10,6,"S1=4, S2=2, S3=1, S4=1, S5=1, S6=1",0.4,Course module viewed,0.7,File,0.6,"Course module viewed: 7, Course viewed: 3","File: 6, System: 3, URL: 1","W71 [08:15]: 6 events, n_users=3, dominant=Course module viewed","W73 [08:17]: 18 events, n_users=6, dominant=Course module viewed",,,,,
13,Sec-04,108,45,Window 8 of 11 in this session,4/19/2026 10:37,4/19/2026 10:38,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,1,File,1,Course module viewed: 3,File: 3,"W44 [10:36]: 4 events, n_users=3, dominant=Course module viewed","W51 [10:43]: 4 events, n_users=4, dominant=Course module viewed",,,,,
14,Sec-04,108,51,Window 9 of 11 in this session,4/19/2026 10:43,4/19/2026 10:44,4,4,"S1=1, S2=1, S3=1, S4=1",0.25,Course module viewed,1,File,1,Course module viewed: 4,File: 4,"W45 [10:37]: 3 events, n_users=3, dominant=Course module viewed","W52 [10:44]: 4 events, n_users=4, dominant=Course module viewed",,,,,
15,Sec-06,5,4,Window 3 of 7 in this session,2/17/2026 10:50,2/17/2026 10:51,10,3,"S1=5, S2=3, S3=2",0.5,Course module viewed,0.7,File,0.6,"Course module viewed: 7, Course viewed: 3","File: 6, System: 3, Page: 1","W3 [10:49]: 6 events, n_users=3, dominant=Course viewed","W5 [10:51]: 4 events, n_users=3, dominant=Course viewed",,,,,
16,Sec-06,128,78,Window 9 of 12 in this session,4/21/2026 10:59,4/21/2026 11:00,34,17,"S1=6, S2=4, S3=3, S4=3, S5=2, S6=2, S7=2, S8=2, S9=2, S10=1, S11=1, S12=1, S13=1, S14=1, S15=1, S16=1, S17=1",0.18,Course module viewed,0.882,File,0.882,"Course module viewed: 30, Course viewed: 4","File: 30, System: 4","W77 [10:58]: 29 events, n_users=12, dominant=Course module viewed","W79 [11:00]: 11 events, n_users=7, dominant=Course module viewed",,,,,
17,Sec-07,114,60,Window 4 of 8 in this session,4/19/2026 14:23,4/19/2026 14:24,12,7,"S1=3, S2=2, S3=2, S4=2, S5=1, S6=1, S7=1",0.25,Course module viewed,0.833,File,0.833,"Course module viewed: 10, Course viewed: 2","File: 10, System: 2","W59 [14:22]: 6 events, n_users=5, dominant=Course viewed","W62 [14:25]: 11 events, n_users=4, dominant=Course module viewed",,,,,
18,Sec-08,139,18,Window 6 of 15 in this session,4/21/2026 14:08,4/21/2026 14:09,5,4,"S1=2, S2=1, S3=1, S4=1",0.4,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2","W17 [14:07]: 4 events, n_users=4, dominant=Course module viewed","W19 [14:09]: 4 events, n_users=4, dominant=Course module viewed",,,,,
19,Sec-08,139,23,Window 8 of 15 in this session,4/21/2026 14:13,4/21/2026 14:14,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,0.667,File,0.667,"Course module viewed: 2, Course viewed: 1","File: 2, System: 1","W19 [14:09]: 4 events, n_users=4, dominant=Course module viewed","W28 [14:18]: 7 events, n_users=5, dominant=Course module viewed",,,,,
20,Sec-08,139,62,Window 15 of 15 in this session,4/21/2026 14:52,4/21/2026 14:53,5,3,"S1=2, S2=2, S3=1",0.4,Course module viewed,0.8,File,0.8,"Course module viewed: 4, Course viewed: 1","File: 4, System: 1","W61 [14:51]: 15 events, n_users=8, dominant=Course module viewed",(none — last retained window of session),,,,,
21,Sec-09,1,15,Window 7 of 12 in this session,2/15/2026 12:14,2/15/2026 12:15,32,16,"S1=9, S2=4, S3=3, S4=2, S5=2, S6=2, S7=1, S8=1, S9=1, S10=1, S11=1, S12=1, S13=1, S14=1, S15=1, S16=1",0.28,Course module viewed,0.781,File,0.625,"Course module viewed: 25, Course viewed: 3, Grade user report viewed: 1, User list viewed: 1, User profile viewed: 1","File: 20, System: 6, Page: 2, Forum: 2, User report: 1","W14 [12:13]: 17 events, n_users=16, dominant=Course viewed","W43 [12:42]: 6 events, n_users=5, dominant=Course module viewed",,,,,
22,Sec-09,1,63,Window 9 of 12 in this session,2/15/2026 13:02,2/15/2026 13:03,6,4,"S1=3, S2=1, S3=1, S4=1",0.5,Course module viewed,0.833,File,0.667,"Course module viewed: 5, Course viewed: 1","File: 4, System: 1, Page: 1","W43 [12:42]: 6 events, n_users=5, dominant=Course module viewed","W66 [13:05]: 10 events, n_users=4, dominant=Course module viewed",,,,,
23,Sec-09,105,13,Window 3 of 16 in this session,4/16/2026 10:05,4/16/2026 10:06,20,13,"S1=5, S2=2, S3=2, S4=2, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1, S11=1, S12=1, S13=1",0.25,Course module viewed,0.65,File,0.6,"Course module viewed: 13, Course viewed: 6, The status of the submission has been viewed.: 1","File: 12, System: 6, Assignment: 2","W12 [10:04]: 13 events, n_users=9, dominant=Course module viewed","W14 [10:06]: 16 events, n_users=7, dominant=Course module viewed",,,,,
24,Sec-09,131,15,Window 5 of 19 in this session,4/19/2026 12:07,4/19/2026 12:08,31,19,"S1=6, S2=4, S3=3, S4=2, S5=2, S6=1, S7=1, S8=1, S9=1, S10=1, S11=1, S12=1, S13=1, S14=1, S15=1, S16=1, S17=1, S18=1, S19=1",0.19,Course module viewed,0.677,File,0.613,"Course module viewed: 21, Course viewed: 6, Section viewed: 2, The status of the submission has been viewed.: 2","File: 19, System: 8, Assignment: 4","W14 [12:06]: 5 events, n_users=4, dominant=Course viewed","W16 [12:08]: 7 events, n_users=5, dominant=Course module viewed",,,,,
25,Sec-10,2,10,Window 8 of 10 in this session,2/15/2026 12:18,2/15/2026 12:19,48,16,"S1=18, S2=4, S3=4, S4=3, S5=2, S6=2, S7=2, S8=2, S9=2, S10=2, S11=2, S12=1, S13=1, S14=1, S15=1, S16=1",0.38,Course module viewed,0.729,File,0.708,"Course module viewed: 35, Course viewed: 8, Grade user report viewed: 2, User list viewed: 2, Tour started: 1","File: 34, System: 10, User report: 2, User tours: 1, URL: 1","W9 [12:17]: 21 events, n_users=11, dominant=Course module viewed","W11 [12:19]: 14 events, n_users=6, dominant=Course module viewed",,,,,
26,Sec-10,2,11,Window 9 of 10 in this session,2/15/2026 12:19,2/15/2026 12:20,14,6,"S1=4, S2=4, S3=3, S4=1, S5=1, S6=1",0.29,Course module viewed,0.786,File,0.714,"Course module viewed: 11, Section viewed: 2, Course viewed: 1","File: 10, System: 3, Page: 1","W10 [12:18]: 48 events, n_users=16, dominant=Course module viewed","W14 [12:22]: 14 events, n_users=5, dominant=Course module viewed",,,,,
27,Sec-10,11,10,Window 5 of 19 in this session,2/22/2026 11:16,2/22/2026 11:17,6,3,"S1=4, S2=1, S3=1",0.67,Course module viewed,0.667,File,0.667,"Course module viewed: 4, Course viewed: 2","File: 4, System: 2","W5 [11:11]: 4 events, n_users=3, dominant=Course module viewed","W59 [12:05]: 12 events, n_users=5, dominant=Course module viewed",,,,,
28,Sec-11,193,55,Window 6 of 18 in this session,4/16/2026 10:09,4/16/2026 10:10,14,11,"S1=2, S2=2, S3=2, S4=1, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1, S11=1",0.14,Course module viewed,0.571,File,0.5,"Course module viewed: 8, Course viewed: 4, User list viewed: 1, The status of the submission has been viewed.: 1","File: 7, System: 5, Assignment: 2","W54 [10:08]: 4 events, n_users=3, dominant=Course viewed","W56 [10:10]: 15 events, n_users=10, dominant=Course module viewed",,,,,
29,Sec-11,217,83,Window 15 of 15 in this session,4/19/2026 12:33,4/19/2026 12:34,4,3,"S1=2, S2=1, S3=1",0.5,Course module viewed,1,File,1,Course module viewed: 4,File: 4,"W82 [12:32]: 8 events, n_users=6, dominant=Course module viewed",(none — last retained window of session),,,,,
30,Sec-11,217,59,Window 10 of 15 in this session,4/19/2026 12:09,4/19/2026 12:10,6,4,"S1=2, S2=2, S3=1, S4=1",0.33,Course module viewed,0.833,File,0.833,"Course module viewed: 5, Course viewed: 1","File: 5, System: 1","W58 [12:08]: 8 events, n_users=4, dominant=Course viewed","W79 [12:29]: 7 events, n_users=7, dominant=Course module viewed",,,,,
31,Sec-11,193,57,Window 8 of 18 in this session,4/16/2026 10:11,4/16/2026 10:12,8,5,"S1=4, S2=1, S3=1, S4=1, S5=1",0.5,Course module viewed,0.75,File,0.625,"Course module viewed: 6, The status of the submission has been viewed.: 1, Course viewed: 1","File: 5, Assignment: 2, System: 1","W56 [10:10]: 15 events, n_users=10, dominant=Course module viewed","W61 [10:15]: 7 events, n_users=3, dominant=Course viewed",,,,,
32,Sec-11,217,79,Window 11 of 15 in this session,4/19/2026 12:29,4/19/2026 12:30,7,7,"S1=1, S2=1, S3=1, S4=1, S5=1, S6=1, S7=1",0.14,Course module viewed,1,File,1,Course module viewed: 7,File: 7,"W59 [12:09]: 6 events, n_users=4, dominant=Course module viewed","W80 [12:30]: 37 events, n_users=21, dominant=Course module viewed",,,,,
33,Sec-11,239,74,Window 12 of 14 in this session,4/23/2026 10:09,4/23/2026 10:10,13,12,"S1=2, S2=1, S3=1, S4=1, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1, S11=1, S12=1",0.15,Course module viewed,0.846,File,0.846,"Course module viewed: 11, Course viewed: 2","File: 11, System: 2","W73 [10:08]: 3 events, n_users=3, dominant=Course viewed","W75 [10:10]: 21 events, n_users=10, dominant=Course module viewed",,,,,
34,Sec-11,240,3,Window 1 of 4 in this session,4/23/2026 10:54,4/23/2026 10:55,12,10,"S1=2, S2=2, S3=1, S4=1, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1",0.17,Course module viewed,0.833,File,0.833,"Course module viewed: 10, Course viewed: 2","File: 10, System: 2",(none — first retained window of session),"W4 [10:55]: 30 events, n_users=17, dominant=Course module viewed",,,,,
35,Sec-11,240,5,Window 3 of 4 in this session,4/23/2026 10:56,4/23/2026 10:57,15,10,"S1=3, S2=2, S3=2, S4=2, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1",0.2,Course module viewed,0.933,File,0.933,"Course module viewed: 14, Course viewed: 1","File: 14, System: 1","W4 [10:55]: 30 events, n_users=17, dominant=Course module viewed","W6 [10:57]: 9 events, n_users=6, dominant=Course module viewed",,,,,
36,Sec-11,239,71,Window 10 of 14 in this session,4/23/2026 10:06,4/23/2026 10:07,6,4,"S1=2, S2=2, S3=1, S4=1",0.33,Course module viewed,0.667,File,0.333,"Course module viewed: 4, Course viewed: 2","File: 2, System: 2, URL: 2","W70 [10:05]: 12 events, n_users=6, dominant=Course module viewed","W73 [10:08]: 3 events, n_users=3, dominant=Course viewed",,,,,
37,Sec-11,239,76,Window 14 of 14 in this session,4/23/2026 10:11,4/23/2026 10:12,5,5,"S1=1, S2=1, S3=1, S4=1, S5=1",0.2,Course module viewed,1,File,1,Course module viewed: 5,File: 5,"W75 [10:10]: 21 events, n_users=10, dominant=Course module viewed",(none — last retained window of session),,,,,
38,Sec-11,239,67,Window 6 of 14 in this session,4/23/2026 10:02,4/23/2026 10:03,5,3,"S1=3, S2=1, S3=1",0.6,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2","W66 [10:01]: 12 events, n_users=5, dominant=Course module viewed","W68 [10:03]: 7 events, n_users=5, dominant=Course module viewed",,,,,
39,Sec-13,90,99,Window 7 of 7 in this session,4/13/2026 9:30,4/13/2026 9:31,6,5,"S1=2, S2=1, S3=1, S4=1, S5=1",0.33,Course module viewed,0.833,File,0.833,"Course module viewed: 5, Section viewed: 1","File: 5, System: 1","W69 [09:00]: 5 events, n_users=5, dominant=Course module viewed",(none — last retained window of session),,,,,
40,Sec-13,90,69,Window 6 of 7 in this session,4/13/2026 9:00,4/13/2026 9:01,5,5,"S1=1, S2=1, S3=1, S4=1, S5=1",0.2,Course module viewed,1,File,1,Course module viewed: 5,File: 5,"W31 [08:22]: 14 events, n_users=7, dominant=Course module viewed","W99 [09:30]: 6 events, n_users=5, dominant=Course module viewed",,,,,
41,Sec-14,1,71,Window 11 of 12 in this session,2/16/2026 9:20,2/16/2026 9:21,15,7,"S1=5, S2=4, S3=2, S4=1, S5=1, S6=1, S7=1",0.33,Course module viewed,0.667,File,0.667,"Course module viewed: 10, Course viewed: 4, User list viewed: 1","File: 10, System: 5","W70 [09:19]: 8 events, n_users=4, dominant=Course module viewed","W72 [09:21]: 6 events, n_users=3, dominant=Course module viewed",,,,,
42,Sec-14,1,19,Window 9 of 12 in this session,2/16/2026 8:28,2/16/2026 8:29,18,8,"S1=6, S2=4, S3=2, S4=2, S5=1, S6=1, S7=1, S8=1",0.33,Course module viewed,0.778,File,0.778,"Course module viewed: 14, User profile viewed: 2, Course viewed: 2","File: 14, System: 4","W18 [08:27]: 15 events, n_users=10, dominant=Course module viewed","W70 [09:19]: 8 events, n_users=4, dominant=Course module viewed",,,,,
43,Sec-14,1,18,Window 8 of 12 in this session,2/16/2026 8:27,2/16/2026 8:28,15,10,"S1=3, S2=2, S3=2, S4=2, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1",0.2,Course module viewed,0.867,File,0.867,"Course module viewed: 13, Course viewed: 2","File: 13, System: 2","W17 [08:26]: 6 events, n_users=4, dominant=Course viewed","W19 [08:28]: 18 events, n_users=8, dominant=Course module viewed",,,,,
44,Sec-14,12,50,Window 2 of 10 in this session,2/23/2026 8:09,2/23/2026 8:10,11,7,"S1=5, S2=1, S3=1, S4=1, S5=1, S6=1, S7=1",0.45,Course module viewed,0.636,File,0.636,"Course module viewed: 7, Course viewed: 4","File: 7, System: 4","W47 [08:06]: 7 events, n_users=4, dominant=Course module viewed","W51 [08:10]: 35 events, n_users=18, dominant=Course module viewed",,,,,
