Section,Session_ID,Window_Index,Start_Time,End_Time,n_events,n_users,context,Dominant_Event,Dominant_Component,Dominant_Bundled,R_event,R_comp,K,p_star,Top_User_Share,C_e,C_c,Q_sub,T_sust,a_t_new,S_a,S_u,S_e,S_tau,sigma_t_new,is_session_first,d_t_new,d_t_categorical_rule,a_t,d_t,sigma_t,Dominant_Component_Recomputed
Sec-01,1,5,2026-02-15 08:07:00,2026-02-15 08:08:00,8,4,navigation,Course viewed,System,Course viewed,0.75,0.875,3,0.75,0.5,0.75,0.875,0.5,1.0,0.78125,1.0,1.0,1.0,1.0,1.0,True,3,2,0.8125,0.4166666666666667,1.0,System
Sec-01,1,9,2026-02-15 08:11:00,2026-02-15 08:12:00,4,3,navigation,Course viewed,System,Course viewed,1.0,1.0,1,1.0,0.5,1.0,1.0,0.5,1.0,0.875,0.75,0.8,1.0,0.6,0.7875,False,1,2,1.0,0.0,0.5,System
Sec-01,1,22,2026-02-15 08:24:00,2026-02-15 08:25:00,14,14,navigation,Course viewed,System,Course viewed,1.0,1.0,1,1.0,0.0714285714285714,1.0,1.0,0.5,1.0,0.875,1.0,0.2352941176470588,1.0,0.0,0.5588235294117647,False,1,2,1.0,0.0,1.0,System
Sec-01,1,23,2026-02-15 08:25:00,2026-02-15 08:26:00,3,3,navigation,Course viewed,System,Course viewed,1.0,1.0,1,1.0,0.3333333333333333,1.0,1.0,0.5,0.5,0.75,0.6666666666666667,0.8235294117647058,1.0,0.9,0.8475490196078431,False,1,2,1.0,0.0,1.0,System
Sec-01,1,25,2026-02-15 08:27:00,2026-02-15 08:28:00,12,8,teaching,Course module viewed,File,Course module viewed,0.75,0.6666666666666666,2,0.75,0.25,0.75,0.6666666666666666,1.0,0.0,0.6041666666666666,0.6111111111111109,0.2307692307692307,0.0,0.8,0.4104700854700854,False,2,3,0.7083333333333333,0.25,0.222222222222222,File
Sec-01,1,26,2026-02-15 08:28:00,2026-02-15 08:29:00,6,4,navigation,Grade user report viewed,User report,Grade user report viewed,0.3333333333333333,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.2916666666666666,0.1666666666666665,0.8571428571428571,0.0,0.9,0.4809523809523809,False,3,3,0.3333333333333333,0.0,1.1102230246251563e-16,User report
Sec-01,8,6,2026-02-17 08:11:00,2026-02-17 08:12:00,17,11,problem_solving,Course module viewed,File,Course module viewed,0.6470588235294118,0.6470588235294118,2,0.6470588235294118,0.1176470588235294,0.6470588235294118,0.6470588235294118,1.0,1.0,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,True,2,3,0.6470588235294118,0.1470588235294117,1.0,File
Sec-01,8,7,2026-02-17 08:12:00,2026-02-17 08:13:00,12,7,problem_solving,Course module viewed,File,Course module viewed,0.8333333333333334,0.8333333333333334,2,0.8333333333333334,0.25,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9166666666666669,0.751633986928104,0.68,1.0,0.9,0.832908496732026,False,2,3,0.8333333333333334,0.3333333333333332,0.5032679738562091,File
Sec-01,8,8,2026-02-17 08:13:00,2026-02-17 08:14:00,13,5,navigation,Course module viewed,System,Course module viewed,0.4615384615384615,0.3846153846153846,5,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.3846153846153846,1.0,1.0,0.7115384615384616,0.4529914529914526,0.5217391304347826,1.0,0.9,0.7186826458565588,False,5,3,0.4230769230769231,0.3692307692307692,0.0,System
Sec-01,8,9,2026-02-17 08:14:00,2026-02-17 08:15:00,11,6,problem_solving,Course module viewed,File,Course module viewed,0.8181818181818182,0.6363636363636364,2,0.8181818181818182,0.3636363636363636,0.8181818181818182,0.6363636363636364,1.0,1.0,0.8636363636363636,0.5944055944055944,0.6190476190476191,1.0,0.9,0.7783633033633034,False,2,2,0.7272727272727273,0.4848484848484848,0.1888111888111888,File
